N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,맥쿼리인프라,"11,900",150,+1.28%,0,"48,177","404,846",13.63,"428,980",N/A,N/A,
60,삼성중공업,"5,430",120,+2.26%,"1,000","47,784","880,000",15.84,"2,653,329",-7.17,-36.89,
61,LG유플러스,"10,650",100,-0.93%,"5,000","46,499","436,611",37.55,"1,160,554",7.27,9.47,
62,넷마블,"53,600","2,300",+4.48%,100,"46,071","85,954",23.25,"196,410",-197.79,4.29,
63,삼성엔지니어링,"23,450",700,+3.08%,"5,000","45,962","196,000",40.30,"1,296,710",10.79,20.67,
64,SK바이오팜,"58,000","1,100",+1.93%,500,"45,422","78,313",5.88,"123,246",-58.41,15.75,
65,HD현대,"56,900","2,800",+5.18%,"1,000","44,947","78,993",17.08,"165,873",5.06,-1.99,
66,한온시스템,"8,320",0,0.00%,100,"44,412","533,800",16.58,"871,202",23.77,13.83,
67,LG디스플레이,"12,400",400,+3.33%,"5,000","44,369","357,816",18.52,"1,496,316",21.09,9.68,
68,현대미포조선,"111,000","8,000",+7.77%,"5,000","44,336","39,942",19.84,"377,372",-105.21,-7.11,
69,한국타이어앤테크놀로지,"35,300",50,+0.14%,500,"43,728","123,875",36.03,"293,073",6.41,7.69,
70,현대건설,"38,700","1,200",+3.20%,"5,000","43,095","111,356",23.29,"406,550",7.63,5.89,
71,코웨이,"55,800","1,900",+3.53%,500,"41,180","73,800",61.70,"119,849",8.38,27.41,
72,롯데지주,"38,700",400,+1.04%,200,"40,600","104,909",9.60,"118,073",12.17,4.61,
73,GS,"43,600","1,900",+4.56%,"5,000","40,511","92,915",24.72,"136,309",1.87,15.55,
74,오리온,"100,500","2,500",-2.43%,500,"39,734","39,536",35.92,"159,672",13.60,12.75,
75,유한양행,"54,200",100,-0.18%,"1,000","39,691","73,231",19.31,"217,109",41.22,5.45,
76,DB손해보험,"55,900",700,+1.27%,500,"39,577","70,800",42.53,"143,442",4.12,13.38,
77,현대제철,"29,600","1,500",+5.34%,"5,000","39,500","133,446",20.91,"510,733",2.04,8.54,
78,SK아이이테크놀로지,"55,200","2,800",+5.34%,"1,000","39,356","71,298",9.28,"1,037,780",304.97,5.57,
79,미래에셋증권,"6,030",50,+0.84%,"5,000","37,104","615,316",12.64,"900,517",4.89,11.66,
80,금호석유,"119,500","4,000",+3.46%,"5,000","36,204","30,296",20.54,"52,186",2.55,47.76,
81,삼성카드,"30,750",550,+1.82%,"5,000","35,627","115,859",6.64,"77,389",6.09,7.53,
82,메리츠화재,"30,300",800,+2.71%,500,"34,476","113,783",11.45,"118,545",4.50,26.12,
83,SKC,"87,600","3,700",+4.41%,"5,000","33,173","37,868",17.35,"207,027",11.30,11.60,
84,TIGER 차이나전기차SOLACTIVE,"13,730",30,+0.22%,0,"32,639","237,720",0.67,"925,271",N/A,N/A,
85,한국가스공사,"35,100","1,300",+3.85%,"5,000","32,402","92,313",11.09,"556,921",2.36,11.63,
86,한화에어로스페이스,"62,800","1,300",+2.11%,"5,000","31,796","50,630",23.61,"2,257,733",20.58,9.21,
